baseobjectIdentifier,blastModified,baselastModifiedBy,basedeleted,baseobjectCreationDateTime,exchangeRateAreaIndetifier,exchangeRateAreaName,exchangeRateAreaStartDate,exchangeRateAreaEndDate,constrainingInsuranceMarketLevelType,ns3objectIdentifier,ns3lastModified,ns3lastModifiedBy,ns3deleted,ns3objectCreationDateTime,ns2referenceTypeName,ns2referenceTypeCode,ns2resourceIdentifier,ns2zipCode,ns2statePostalCode
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,441446,2019-11-26T20:16:41.732-05:00,"",false,2019-11-26T20:16:41.732-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77707,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,521465,2019-11-26T20:16:41.708-05:00,"",false,2019-11-26T20:16:41.708-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77705,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,215389,2019-11-26T20:16:41.402-05:00,"",false,2019-11-26T20:16:41.402-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77619,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1104699,2019-11-26T20:16:41.753-05:00,"",false,2019-11-26T20:16:41.753-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77710,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1034093,2019-11-26T20:16:41.706-05:00,"",false,2019-11-26T20:16:41.706-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77704,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,805095,2019-11-26T20:16:41.693-05:00,"",false,2019-11-26T20:16:41.693-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77702,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,139106,2019-11-26T20:16:41.511-05:00,"",false,2019-11-26T20:16:41.511-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77643,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,97815,2019-11-26T20:16:41.700-05:00,"",false,2019-11-26T20:16:41.700-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77703,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,669541,2019-11-26T20:16:41.515-05:00,"",false,2019-11-26T20:16:41.515-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77651,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,773278,2019-11-26T20:16:41.751-05:00,"",false,2019-11-26T20:16:41.751-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77708,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,748863,2019-11-26T20:16:41.666-05:00,"",false,2019-11-26T20:16:41.666-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77701,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1112116,2019-11-26T20:16:41.773-05:00,"",false,2019-11-26T20:16:41.773-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77713,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,22376,2019-11-26T20:16:41.753-05:00,"",false,2019-11-26T20:16:41.753-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77709,48
